# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
82            	(-5.215721e+02 -2.041433e+02 6.035227e+02)	(-5.217051e+02 -2.076015e+02 6.086004e+02)	(1.329874e-01 3.458200e+00 -5.077676e+00)
83            	(-5.214639e+02 -2.041937e+02 6.031851e+02)	(-5.215983e+02 -2.076638e+02 6.082596e+02)	(1.343451e-01 3.470062e+00 -5.074495e+00)
84            	(-5.221584e+02 -1.943989e+02 6.022814e+02)	(-5.222944e+02 -1.978823e+02 6.073519e+02)	(1.359675e-01 3.483398e+00 -5.070524e+00)
85            	(-5.223442e+02 -1.985135e+02 6.032089e+02)	(-5.224821e+02 -2.020123e+02 6.082768e+02)	(1.378677e-01 3.498762e+00 -5.067861e+00)
86            	(-5.220253e+02 -1.993238e+02 6.034177e+02)	(-5.221649e+02 -2.028378e+02 6.084823e+02)	(1.396567e-01 3.513940e+00 -5.064513e+00)
87            	(-5.220581e+02 -2.001960e+02 6.036081e+02)	(-5.221995e+02 -2.037249e+02 6.086689e+02)	(1.414533e-01 3.528890e+00 -5.060732e+00)
88            	(-5.220784e+02 -2.004374e+02 6.037671e+02)	(-5.222217e+02 -2.039812e+02 6.088238e+02)	(1.433085e-01 3.543815e+00 -5.056727e+00)
89            	(-5.219893e+02 -2.000789e+02 6.037600e+02)	(-5.221345e+02 -2.036371e+02 6.088122e+02)	(1.451383e-01 3.558117e+00 -5.052216e+00)
90            	(-5.220563e+02 -2.005876e+02 6.037697e+02)	(-5.222032e+02 -2.041590e+02 6.088167e+02)	(1.468717e-01 3.571413e+00 -5.047004e+00)
91            	(-5.220231e+02 -2.006178e+02 6.036314e+02)	(-5.221715e+02 -2.042040e+02 6.086750e+02)	(1.484554e-01 3.586121e+00 -5.043544e+00)
92            	(-5.218986e+02 -1.996110e+02 6.033251e+02)	(-5.220490e+02 -2.032141e+02 6.083644e+02)	(1.503566e-01 3.603099e+00 -5.039340e+00)
93            	(-5.220869e+02 -2.008943e+02 6.036383e+02)	(-5.222392e+02 -2.045142e+02 6.086722e+02)	(1.523613e-01 3.619914e+00 -5.033879e+00)
94            	(-5.217980e+02 -2.001833e+02 6.034216e+02)	(-5.219523e+02 -2.038193e+02 6.084495e+02)	(1.542672e-01 3.636070e+00 -5.027923e+00)
95            	(-5.212168e+02 -2.019259e+02 6.012993e+02)	(-5.213716e+02 -2.055686e+02 6.063245e+02)	(1.548604e-01 3.642738e+00 -5.025162e+00)
96            	(-5.214932e+02 -2.013774e+02 6.018092e+02)	(-5.216490e+02 -2.050287e+02 6.068311e+02)	(1.557297e-01 3.651285e+00 -5.021908e+00)
97            	(-5.213005e+02 -2.034708e+02 6.026587e+02)	(-5.214569e+02 -2.071288e+02 6.076779e+02)	(1.563842e-01 3.658062e+00 -5.019217e+00)
98            	(-5.213267e+02 -2.035499e+02 6.028011e+02)	(-5.214837e+02 -2.072149e+02 6.078176e+02)	(1.570896e-01 3.664990e+00 -5.016560e+00)
99            	(-5.213051e+02 -2.035607e+02 6.028557e+02)	(-5.214629e+02 -2.072326e+02 6.078695e+02)	(1.578149e-01 3.671921e+00 -5.013770e+00)
100           	(-5.213550e+02 -2.027339e+02 6.027866e+02)	(-5.215136e+02 -2.064128e+02 6.077975e+02)	(1.585593e-01 3.678859e+00 -5.010846e+00)
101           	(-5.213634e+02 -2.021371e+02 6.026008e+02)	(-5.215227e+02 -2.058228e+02 6.076086e+02)	(1.593053e-01 3.685777e+00 -5.007772e+00)
102           	(-5.213529e+02 -2.024097e+02 6.026554e+02)	(-5.215130e+02 -2.061024e+02 6.076600e+02)	(1.600668e-01 3.692739e+00 -5.004564e+00)
103           	(-5.213235e+02 -2.032612e+02 6.029310e+02)	(-5.214844e+02 -2.069609e+02 6.079322e+02)	(1.608371e-01 3.699728e+00 -5.001211e+00)
104           	(-5.213047e+02 -2.032971e+02 6.025720e+02)	(-5.214663e+02 -2.070038e+02 6.075700e+02)	(1.616128e-01 3.706703e+00 -4.997989e+00)
105           	(-5.213057e+02 -2.027110e+02 6.017325e+02)	(-5.214681e+02 -2.064240e+02 6.067263e+02)	(1.623945e-01 3.713009e+00 -4.993850e+00)
106           	(-5.212579e+02 -2.028430e+02 6.023457e+02)	(-5.214210e+02 -2.065624e+02 6.073355e+02)	(1.631751e-01 3.719418e+00 -4.989774e+00)
107           	(-5.211845e+02 -2.025329e+02 6.018790e+02)	(-5.213484e+02 -2.062588e+02 6.068645e+02)	(1.639614e-01 3.725895e+00 -4.985477e+00)
108           	(-5.211586e+02 -2.023001e+02 6.014844e+02)	(-5.213234e+02 -2.060327e+02 6.064653e+02)	(1.647634e-01 3.732538e+00 -4.980875e+00)
109           	(-5.211248e+02 -2.007724e+02 6.004019e+02)	(-5.212904e+02 -2.045119e+02 6.053779e+02)	(1.655681e-01 3.739430e+00 -4.975975e+00)
110           	(-5.210929e+02 -1.991679e+02 5.993635e+02)	(-5.212592e+02 -2.029143e+02 6.043341e+02)	(1.663494e-01 3.746399e+00 -4.970643e+00)
111           	(-5.210812e+02 -1.981185e+02 5.986191e+02)	(-5.212483e+02 -2.018720e+02 6.035843e+02)	(1.671103e-01 3.753514e+00 -4.965284e+00)
112           	(-5.210685e+02 -1.984694e+02 5.984016e+02)	(-5.212364e+02 -2.022297e+02 6.033612e+02)	(1.678929e-01 3.760299e+00 -4.959650e+00)
113           	(-5.209504e+02 -1.990552e+02 5.982358e+02)	(-5.211191e+02 -2.028216e+02 6.031898e+02)	(1.687101e-01 3.766373e+00 -4.954017e+00)
114           	(-5.210773e+02 -1.966988e+02 5.974894e+02)	(-5.212468e+02 -2.004711e+02 6.024382e+02)	(1.695438e-01 3.772268e+00 -4.948869e+00)
115           	(-5.212324e+02 -1.943476e+02 5.964677e+02)	(-5.214028e+02 -1.981257e+02 6.014113e+02)	(1.703916e-01 3.778113e+00 -4.943508e+00)
116           	(-5.212682e+02 -1.931138e+02 5.965912e+02)	(-5.214395e+02 -1.968986e+02 6.015289e+02)	(1.713047e-01 3.784858e+00 -4.937755e+00)
117           	(-5.212275e+02 -1.943293e+02 5.969074e+02)	(-5.213998e+02 -1.981215e+02 6.018387e+02)	(1.723018e-01 3.792166e+00 -4.931254e+00)
118           	(-5.210417e+02 -1.858705e+02 5.933191e+02)	(-5.212149e+02 -1.896700e+02 5.982438e+02)	(1.732507e-01 3.799488e+00 -4.924653e+00)
119           	(-5.209460e+02 -1.897483e+02 5.933205e+02)	(-5.211203e+02 -1.935554e+02 5.982376e+02)	(1.743195e-01 3.807022e+00 -4.917071e+00)
120           	(-5.207364e+02 -1.926059e+02 5.940118e+02)	(-5.209117e+02 -1.964196e+02 5.989218e+02)	(1.753392e-01 3.813701e+00 -4.910039e+00)
121           	(-5.207435e+02 -1.905978e+02 5.926717e+02)	(-5.209200e+02 -1.944186e+02 5.975739e+02)	(1.764473e-01 3.820821e+00 -4.902201e+00)
122           	(-5.207481e+02 -1.978018e+02 5.948805e+02)	(-5.209250e+02 -2.016255e+02 5.997780e+02)	(1.768690e-01 3.823683e+00 -4.897476e+00)
123           	(-5.206437e+02 -1.965302e+02 5.942139e+02)	(-5.208211e+02 -2.003574e+02 5.991061e+02)	(1.774705e-01 3.827267e+00 -4.892217e+00)
124           	(-5.206360e+02 -1.961601e+02 5.938327e+02)	(-5.208141e+02 -1.999909e+02 5.987196e+02)	(1.780753e-01 3.830888e+00 -4.886946e+00)
125           	(-5.206636e+02 -1.957846e+02 5.937024e+02)	(-5.208423e+02 -1.996193e+02 5.985839e+02)	(1.786679e-01 3.834675e+00 -4.881567e+00)
126           	(-5.206674e+02 -1.957170e+02 5.937117e+02)	(-5.208466e+02 -1.995557e+02 5.985878e+02)	(1.792440e-01 3.838646e+00 -4.876072e+00)
127           	(-5.206434e+02 -1.957518e+02 5.936285e+02)	(-5.208232e+02 -1.995945e+02 5.984989e+02)	(1.797999e-01 3.842698e+00 -4.870393e+00)
128           	(-5.205941e+02 -1.950172e+02 5.930956e+02)	(-5.207744e+02 -1.988640e+02 5.979603e+02)	(1.803561e-01 3.846792e+00 -4.864656e+00)
129           	(-5.203906e+02 -1.926671e+02 5.910992e+02)	(-5.205715e+02 -1.965177e+02 5.959584e+02)	(1.808770e-01 3.850587e+00 -4.859195e+00)
130           	(-5.204261e+02 -1.931997e+02 5.917235e+02)	(-5.206075e+02 -1.970546e+02 5.965770e+02)	(1.814317e-01 3.854888e+00 -4.853444e+00)
131           	(-5.203411e+02 -1.920472e+02 5.909136e+02)	(-5.205231e+02 -1.959065e+02 5.957612e+02)	(1.819765e-01 3.859307e+00 -4.847507e+00)
132           	(-5.200235e+02 -1.891763e+02 5.893180e+02)	(-5.202060e+02 -1.930399e+02 5.941597e+02)	(1.824821e-01 3.863659e+00 -4.841722e+00)
133           	(-5.200849e+02 -1.879729e+02 5.869035e+02)	(-5.202679e+02 -1.918400e+02 5.917394e+02)	(1.829647e-01 3.867174e+00 -4.835898e+00)
134           	(-5.200149e+02 -1.875771e+02 5.864446e+02)	(-5.201983e+02 -1.914476e+02 5.912747e+02)	(1.834454e-01 3.870549e+00 -4.830062e+00)
135           	(-5.201557e+02 -1.888718e+02 5.866123e+02)	(-5.203396e+02 -1.927449e+02 5.914366e+02)	(1.838910e-01 3.873182e+00 -4.824308e+00)
136           	(-5.200840e+02 -1.883654e+02 5.861335e+02)	(-5.202683e+02 -1.922412e+02 5.909520e+02)	(1.843367e-01 3.875822e+00 -4.818471e+00)
137           	(-5.200711e+02 -1.882322e+02 5.857540e+02)	(-5.202559e+02 -1.921106e+02 5.905665e+02)	(1.847741e-01 3.878381e+00 -4.812409e+00)
138           	(-5.200669e+02 -1.879193e+02 5.854930e+02)	(-5.202521e+02 -1.918002e+02 5.902990e+02)	(1.851968e-01 3.880914e+00 -4.806064e+00)
139           	(-5.200700e+02 -1.876480e+02 5.854164e+02)	(-5.202556e+02 -1.915317e+02 5.902157e+02)	(1.856282e-01 3.883720e+00 -4.799245e+00)
140           	(-5.201168e+02 -1.881332e+02 5.859618e+02)	(-5.203029e+02 -1.920201e+02 5.907536e+02)	(1.860882e-01 3.886891e+00 -4.791842e+00)
141           	(-5.194320e+02 -1.856207e+02 5.845775e+02)	(-5.196185e+02 -1.895103e+02 5.893636e+02)	(1.864392e-01 3.889655e+00 -4.786155e+00)
142           	(-5.195192e+02 -1.858077e+02 5.844733e+02)	(-5.197061e+02 -1.897005e+02 5.892531e+02)	(1.869178e-01 3.892760e+00 -4.779746e+00)
143           	(-5.195142e+02 -1.856874e+02 5.843015e+02)	(-5.197017e+02 -1.895834e+02 5.890743e+02)	(1.874514e-01 3.896017e+00 -4.772755e+00)
144           	(-5.195357e+02 -1.853964e+02 5.840838e+02)	(-5.197238e+02 -1.892959e+02 5.888489e+02)	(1.880637e-01 3.899522e+00 -4.765130e+00)
145           	(-5.195301e+02 -1.845552e+02 5.834760e+02)	(-5.197188e+02 -1.884583e+02 5.882330e+02)	(1.887251e-01 3.903115e+00 -4.757044e+00)
146           	(-5.195320e+02 -1.814589e+02 5.801036e+02)	(-5.197212e+02 -1.853630e+02 5.848547e+02)	(1.891381e-01 3.904120e+00 -4.751100e+00)
147           	(-5.194633e+02 -1.803655e+02 5.800598e+02)	(-5.196530e+02 -1.842715e+02 5.848037e+02)	(1.896738e-01 3.906012e+00 -4.743838e+00)
148           	(-5.195746e+02 -1.794842e+02 5.794556e+02)	(-5.197648e+02 -1.833920e+02 5.841917e+02)	(1.902246e-01 3.907785e+00 -4.736082e+00)
149           	(-5.196953e+02 -1.800363e+02 5.796675e+02)	(-5.198861e+02 -1.839459e+02 5.843954e+02)	(1.907832e-01 3.909610e+00 -4.727920e+00)
150           	(-5.199240e+02 -1.792853e+02 5.790715e+02)	(-5.201153e+02 -1.831968e+02 5.837908e+02)	(1.913190e-01 3.911465e+00 -4.719307e+00)
151           	(-5.200807e+02 -1.778006e+02 5.784015e+02)	(-5.202723e+02 -1.817159e+02 5.831132e+02)	(1.916713e-01 3.915274e+00 -4.711624e+00)
152           	(-5.198823e+02 -1.770076e+02 5.774348e+02)	(-5.200743e+02 -1.809257e+02 5.821381e+02)	(1.920593e-01 3.918147e+00 -4.703293e+00)
153           	(-5.197842e+02 -1.766421e+02 5.771803e+02)	(-5.199767e+02 -1.805632e+02 5.818750e+02)	(1.924822e-01 3.921099e+00 -4.694688e+00)
154           	(-5.193616e+02 -1.741842e+02 5.757349e+02)	(-5.195545e+02 -1.781083e+02 5.804210e+02)	(1.929271e-01 3.924062e+00 -4.686130e+00)
155           	(-5.194344e+02 -1.753092e+02 5.762692e+02)	(-5.196278e+02 -1.792360e+02 5.809467e+02)	(1.933627e-01 3.926767e+00 -4.677537e+00)
156           	(-5.193411e+02 -1.747203e+02 5.759278e+02)	(-5.195349e+02 -1.786498e+02 5.805962e+02)	(1.937745e-01 3.929519e+00 -4.668391e+00)
157           	(-5.187366e+02 -1.775313e+02 5.783603e+02)	(-5.189307e+02 -1.814633e+02 5.830220e+02)	(1.940696e-01 3.931925e+00 -4.661622e+00)
158           	(-5.188214e+02 -1.792928e+02 5.801145e+02)	(-5.190158e+02 -1.832270e+02 5.847699e+02)	(1.943396e-01 3.934203e+00 -4.655434e+00)
159           	(-5.188869e+02 -1.754977e+02 5.752376e+02)	(-5.190815e+02 -1.794332e+02 5.798875e+02)	(1.946241e-01 3.935455e+00 -4.649941e+00)
160           	(-5.188702e+02 -1.759508e+02 5.761702e+02)	(-5.190651e+02 -1.798878e+02 5.808144e+02)	(1.949259e-01 3.937013e+00 -4.644180e+00)
