# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
51            	(-3.872314e+01 1.678144e+03 3.948704e+03)	(-2.287079e+01 1.678290e+03 3.948783e+03)	(-1.585236e+01 -1.462181e-01 -7.875650e-02)
52            	(-3.886499e+01 1.677213e+03 3.947414e+03)	(-2.302605e+01 1.677362e+03 3.947498e+03)	(-1.583894e+01 -1.487477e-01 -8.457128e-02)
53            	(-3.874255e+01 1.676924e+03 3.947036e+03)	(-2.291990e+01 1.677076e+03 3.947126e+03)	(-1.582266e+01 -1.511971e-01 -9.035720e-02)
54            	(-3.878244e+01 1.676000e+03 3.945109e+03)	(-2.298333e+01 1.676154e+03 3.945206e+03)	(-1.579910e+01 -1.539017e-01 -9.659108e-02)
55            	(-3.931472e+01 1.673745e+03 3.941272e+03)	(-2.354230e+01 1.673901e+03 3.941376e+03)	(-1.577242e+01 -1.568441e-01 -1.035458e-01)
56            	(-3.913007e+01 1.673612e+03 3.940997e+03)	(-2.337927e+01 1.673772e+03 3.941107e+03)	(-1.575080e+01 -1.593259e-01 -1.099146e-01)
57            	(-3.914733e+01 1.672995e+03 3.940439e+03)	(-2.341569e+01 1.673157e+03 3.940555e+03)	(-1.573164e+01 -1.615526e-01 -1.160790e-01)
58            	(-3.904506e+01 1.672777e+03 3.940362e+03)	(-2.332850e+01 1.672940e+03 3.940484e+03)	(-1.571656e+01 -1.635642e-01 -1.219500e-01)
59            	(-3.911253e+01 1.672182e+03 3.939433e+03)	(-2.340728e+01 1.672347e+03 3.939561e+03)	(-1.570525e+01 -1.654553e-01 -1.277615e-01)
60            	(-3.916950e+01 1.671734e+03 3.938735e+03)	(-2.347274e+01 1.671901e+03 3.938869e+03)	(-1.569676e+01 -1.672554e-01 -1.335810e-01)
61            	(-3.920774e+01 1.670932e+03 3.937573e+03)	(-2.351689e+01 1.671101e+03 3.937713e+03)	(-1.569085e+01 -1.690256e-01 -1.396120e-01)
