#,alpha.water_initial,alpha.water_final,p_rgh_initial,p_rgh_final
2608,2.577210e-06,6.716570e-09,2.850010e-04,5.909720e-07
2609,2.580360e-06,6.759030e-09,2.853760e-04,5.784880e-07
2610,2.584010e-06,6.835200e-09,2.864480e-04,6.309270e-07
2611,2.588030e-06,6.844580e-09,2.873990e-04,6.044970e-07
2612,2.592110e-06,6.947570e-09,2.891490e-04,5.996250e-07
2613,2.595500e-06,6.926190e-09,2.905500e-04,6.701670e-07
2614,2.598360e-06,7.001400e-09,2.901620e-04,6.069080e-07
2615,2.600180e-06,6.955540e-09,2.891570e-04,6.411830e-07
2616,2.601290e-06,6.898370e-09,2.849960e-04,6.202720e-07
2617,2.601320e-06,6.845500e-09,2.809340e-04,6.433910e-07
2618,2.601820e-06,6.822740e-09,2.787610e-04,6.194050e-07
2619,2.603160e-06,6.818280e-09,2.781390e-04,6.246600e-07
2620,2.604510e-06,6.846310e-09,2.778190e-04,6.089900e-07
2621,2.606090e-06,6.861160e-09,2.771190e-04,5.722800e-07
2622,2.607330e-06,6.834620e-09,2.766690e-04,5.626660e-07
2623,2.608740e-06,6.856610e-09,2.761420e-04,5.398650e-07
2624,2.609980e-06,6.844770e-09,2.764270e-04,5.817150e-07
2625,2.610790e-06,6.827570e-09,2.760650e-04,5.433870e-07
2626,2.611630e-06,6.825110e-09,2.758770e-04,5.517340e-07
2627,2.612270e-06,6.816040e-09,2.751730e-04,5.234390e-07
2628,2.613060e-06,6.813900e-09,2.751740e-04,5.649250e-07
2629,2.613560e-06,6.798590e-09,2.749520e-04,5.410720e-07
2630,2.613850e-06,6.793140e-09,2.747100e-04,5.692810e-07
2631,2.614040e-06,6.789470e-09,2.745400e-04,5.477000e-07
2632,2.614130e-06,6.774810e-09,2.744180e-04,5.817670e-07
2633,2.612620e-06,6.734350e-09,2.740870e-04,5.530290e-07
2634,2.613930e-06,6.743560e-09,2.746700e-04,5.886450e-07
2635,2.613460e-06,6.715860e-09,2.743820e-04,5.612090e-07
2636,2.456410e-06,5.732630e-09,2.446410e-04,7.312860e-07
2637,2.006560e-06,4.177320e-09,1.911610e-04,8.408790e-07
2638,2.017870e-06,4.224950e-09,1.875590e-04,7.097810e-07
2639,2.022780e-06,4.241580e-09,1.872650e-04,6.473930e-07
2640,2.030550e-06,4.264400e-09,1.873990e-04,5.980170e-07
2641,2.039180e-06,4.285350e-09,1.880240e-04,5.986740e-07
2642,2.048020e-06,4.306310e-09,1.891130e-04,6.013560e-07
2643,2.056840e-06,4.329330e-09,1.897800e-04,5.843570e-07
2644,2.065640e-06,4.353370e-09,1.903800e-04,5.730930e-07
2645,2.074340e-06,4.376640e-09,1.914040e-04,5.806920e-07
2646,2.083020e-06,4.401680e-09,1.920800e-04,5.735800e-07
2647,2.091660e-06,4.428020e-09,1.933610e-04,6.012640e-07
2648,2.100220e-06,4.454990e-09,1.943790e-04,6.018650e-07
2649,2.108690e-06,4.479480e-09,1.952510e-04,5.963250e-07
2650,2.112820e-06,4.493670e-09,1.958300e-04,6.151330e-07
2651,2.119570e-06,4.510950e-09,1.966970e-04,6.280130e-07
2652,2.126170e-06,4.526850e-09,1.974070e-04,6.114160e-07
2653,2.132600e-06,4.537960e-09,1.975600e-04,5.949960e-07
2654,2.138980e-06,4.552310e-09,1.979070e-04,5.934760e-07
2655,2.145310e-06,4.564620e-09,1.989490e-04,6.220120e-07
2656,2.151460e-06,4.581630e-09,1.996910e-04,6.424790e-07
2657,2.157490e-06,4.593480e-09,2.000490e-04,6.060020e-07
2658,2.163400e-06,4.612570e-09,2.006560e-04,6.003680e-07
2659,2.169210e-06,4.623550e-09,2.008600e-04,6.012980e-07
2660,2.174860e-06,4.647910e-09,2.014780e-04,6.333620e-07
2661,2.180350e-06,4.655390e-09,2.023060e-04,6.526940e-07
2662,2.185230e-06,4.744290e-09,2.021670e-04,5.992960e-07
2663,2.190150e-06,4.814350e-09,2.033340e-04,6.557890e-07
2664,2.195570e-06,4.905460e-09,2.041550e-04,6.861630e-07
2665,2.200340e-06,4.931800e-09,2.039570e-04,6.427990e-07
2666,2.204820e-06,4.957510e-09,2.050830e-04,6.637430e-07
2667,2.208970e-06,4.982080e-09,2.045970e-04,6.728950e-07
2668,2.212830e-06,5.004850e-09,2.045840e-04,6.736360e-07
2669,2.217050e-06,5.025100e-09,2.050980e-04,6.613780e-07
2670,2.221880e-06,5.045160e-09,2.055150e-04,6.807020e-07
2671,2.227130e-06,5.079890e-09,2.055350e-04,6.505150e-07
2672,2.232680e-06,5.129710e-09,2.054190e-04,6.263110e-07
2673,2.238210e-06,5.143980e-09,2.052180e-04,6.113310e-07
2674,2.243780e-06,5.210850e-09,2.053090e-04,5.974210e-07
